# (1)T[K] (2)Cv[J/m^3K] (3)Kappa[W/mK] (4) Tau_MC[ps] (5) Tau_p^2 [ps^2] (6)NL-length[nm] (7)Alpha (8)Tau_e[ps] (9)Alpha_neq 

0.0 0.0 0.0 nan nan nan nan nan nan
10.0 946.002219537 11867.9701085 7356120.97924 1.58338054326e+12 7478634.17893 1.68362489706 5962052.32319 0.346304429433
20.0 10599.8216589 6076.93167329 556079.783198 8353470292.42 462941.240979 1.80736579873 491509.568145 0.492546625314
30.0 48806.3633159 4294.88249971 155299.19253 465596009.831 98754.4577248 1.89158907949 145000.516236 0.583217898213
40.0 118445.271373 3224.89656488 65543.1645878 74159376.2106 35869.6232253 1.91790961923 62186.5626822 0.601954782075
50.0 203251.21326 2511.51419084 34282.0838038 20440704.9316 17507.5569879 1.92617161031 32672.8483122 0.609012048715
60.0 290957.585836 1981.30947181 20378.5677641 7508357.13986 10060.3559127 1.92910293125 19445.195209 0.620800200757
70.0 377297.441213 1558.83328358 13047.0943946 3197312.19279 6318.19181824 1.93043596395 12452.8520863 0.641595904618
80.0 462003.851014 1226.8138843 8800.07331132 1497820.72968 4207.08208367 1.9314602034 8400.51439919 0.671151323367
90.0 545657.785881 975.526068733 6213.61576493 761313.189969 2941.88553365 1.9326682417 5933.47704371 0.706990644829
100.0 628452.29384 789.389487872 4574.07527131 417093.702088 2149.47342407 1.93412170886 4370.22097565 0.746007306834
110.0 710042.673279 651.764723818 3493.16498578 244502.384622 1632.53952158 1.93570313853 3339.65832468 0.785482833232
120.0 789766.38875 548.939644626 2753.38972948 152143.766392 1282.1245515 1.93727848982 2634.12485465 0.823492186407
130.0 866887.690474 470.855646182 2229.57866907 99726.5351728 1036.106951 1.93875522603 2134.27434339 0.858898803891
140.0 940759.552704 410.466586238 1847.32647071 68380.1914175 857.875704676 1.94008565247 1769.24611445 0.891174541847
150.0 1010899.22237 362.898373062 1560.87265188 48748.0699585 725.111619412 1.94125402719 1495.48973057 0.920194963219
160.0 1077003.9626 324.768208335 1341.1367316 35941.4663568 623.756653076 1.94226344834 1285.33528532 0.946073268
170.0 1138933.9988 293.702899177 1169.0717999 27282.0542649 544.682703106 1.94312653397 1120.65701742 0.969045196153
180.0 1196681.78183 268.013971878 1031.8566424 21238.4174481 481.795347092 1.94385971666 989.248762551 0.989396781256
190.0 1250338.7991 246.481635679 920.645253433 16900.5953362 430.921256903 1.94448007398 882.684036158 1.0074224558
200.0 1300065.51907 228.210996391 829.197012223 13708.8522172 389.136211044 1.9450037292 795.0142302 1.02340272839
210.0 1346066.6146 212.535576794 753.019882125 11307.9738251 354.348058934 1.94544515673 721.954490308 1.03759370844
220.0 1388571.75986 198.951826242 688.820960206 9466.09835705 325.031324708 1.94581697893 660.361567333 1.05022343261
230.0 1427821.43393 187.074079262 634.145997552 8027.97458586 300.05435645 1.94613001303 607.891136123 1.06149187835
240.0 1464056.8581 176.603152945 587.137911144 6887.21824512 278.56432443 1.94639343197 562.768123381 1.07157281835
250.0 1497513.16993 167.304153323 546.371883525 5969.38293336 259.909190985 1.94661496619 523.629789256 1.08061646041
260.0 1528415.03805 158.990580478 510.740761927 5221.36494175 243.583799258 1.94680110839 489.416608226 1.08875229353
270.0 1556974.06277 151.512798131 479.374112112 4604.61623125 229.191998035 1.94695730361 459.295147029 1.0960918398
280.0 1583387.44886 144.749566323 451.580180569 4090.70288319 216.419618134 1.9470881174 432.602734223 1.10273117143
290.0 1607837.55993 138.601750632 426.803700477 3658.34065993 205.014913086 1.94719738053 408.80720975 1.1087531405
300.0 1630492.06526 132.987596509 404.594818643 3291.38013711 194.774212789 1.94728831146 387.477265587 1.11422931627
310.0 1651504.46853 127.839141961 384.585936559 2977.41401558 185.531269775 1.94736361895 368.260327808 1.11922164811
320.0 1671014.86841 123.099467247 366.474256124 2706.7993658 177.149255886 1.94742558729 350.865877841 1.12378388235
330.0 1689150.84585 118.720566423 350.008486941 2471.96117287 169.514684936 1.94747614714 335.052743822 1.12796276404
340.0 1706028.40565 114.661685441 334.978623737 2266.88952669 162.532751188 1.94751693393 320.61932244 1.13179905386
350.0 1721752.92394 110.888013587 321.208012606 2086.77202963 156.123719924 1.94754933632 307.395986629 1.13532838786
360.0 1736420.07017 107.36964491 308.547140546 1927.7218905 150.220107821 1.94757453623 295.239139839 1.13858200426
370.0 1750116.68425 104.080747697 296.868734539 1786.57457957 144.764461911 1.94759354192 284.026522153 1.14158735852
380.0 1762921.59781 100.998895554 286.063864551 1660.73418686 139.707596308 1.94760721553 273.65347651 1.14436864444
390.0 1774906.39425 98.1045249872 276.038822477 1548.05621039 135.007181985 1.94761629588 264.02995734 1.14694723638
400.0 1786136.10639 95.3804927254 266.712605547 1446.75732227 130.626611026 1.9476214175 255.078117749 1.14934206541
410.0 1796669.85252 92.8117122252 258.014874064 1355.34530843 126.534075899 1.94762312648 246.730350894 1.15156993983
420.0 1806561.41373 90.3848534603 249.884283992 1272.56423262 122.701818362 1.94762189372 238.927690394 1.15364581896
430.0 1815859.756 88.0880936037 242.267117711 1197.35118932 119.105513136 1.94761812607 231.618496453 1.15558304759
440.0 1824609.50108 85.910908885 235.116153467 1128.80195073 115.723759311 1.9476121757 224.757370754 1.15739355723
450.0 1832851.35047 83.8438999486 228.389727034 1066.14349293 112.537658415 1.94760434788 218.30425564 1.15908803917
460.0 1840622.46648 81.8786446239 222.050949046 1008.71188172 109.530462612 1.94759490776 212.223682586 1.16067609387
